county,size,detention_eligible_cases_detained,detention_petition_filed_but_denied,detention_eligible_no_petition_filed,both,detained_cases
Boone,158,0.47,0.18,0.35,0.53,158
Champaign,859,0.47,0.21,0.32,0.53,859
Christian,107,0.62,0.12,0.26,0.38,107
Coles,162,0.05,0.4,.56,0.96,162
Cook,2046,0.73,0.1,0.16,0.26,14646
Effingham,105,0.7,0.04,0.27,0.31,105
Franklin,165,0.48,0.08,0.44,0.52,165
Fulton,161,0.4,0.37,0.23,0.6,161
Grundy,119,0.62,0.13,0.25,0.38,119
Henry,166,0.37,0.32,0.31,0.63,166
Jackson,352,0.55,0.14,0.31,0.45,352
Jefferson,113,0.37,0.19,0.43,0.62,113
Kankakee,315,0.17,0.37,0.46,0.83,315
Knox,366,0.61,0.15,0.24,0.39,366
LaSalle,274,0.85,0.04,0.11,0.15,274
Livingston,164,0.4,0.21,0.4,0.61,164
Logan,102,0.57,0.18,0.25,0.43,102
Macoupin,158,0.56,0.02,0.42,0.44,158
Marion,212,0.47,0.25,0.28,0.53,212
Montgomery,112,0.45,0.16,0.39,0.55,112
Ogle,142,0.32,0.38,0.3,0.68,142
Peoria,157,0.28,0.19,0.53,0.72,157
Randolph,111,0.53,0.29,0.18,0.47,111
Richland,115,0.76,0.04,0.2,0.24,115
Saline,133,0.56,0.13,0.32,0.45,133
St. Clair,680,0.13,0.36,0.51,0.87,680
Stephenson,120,0.27,0.34,0.39,0.73,120
Vermilion,514,0.2,0.36,0.44,0.8,514
White,100,0.39,0.31,0.3,0.61,100
Whiteside,110,0.54,0.18,0.28,0.46,110
Will,1105,0.33,0.33,0.35,0.68,1105
Williamson,415,0.68,0.11,0.2,0.31,415